cluster,label,words,cluster_name
1,label1,rechtsanwaltsfachangestellte,Requirements
1,label1,verwaltungsfachangestellte,Requirements
1,label1,verwaltungsfachangestellter,Requirements
1,label35,qualifizierung,Requirements
1,label35,berufsausbildung,Requirements
1,label35,ausbildungsberuf,Requirements
1,label35,ausbildungsdauer,Requirements
1,label35,arbeitserfahrung,Requirements
1,label35,berufsbegleitend,Requirements
1,label177,besonderheit,Requirements
1,label177,juristisch,Requirements
1,label177,schwerpunkt,Requirements
1,label177,gefahrenabwehr,Requirements
1,label177,ingenieurwesen,Requirements
1,label177,rechnungswesen,Requirements
1,label177,vergaberecht,Requirements
1,label177,vertragsrecht,Requirements
1,label177,abgeschlossene,Requirements
1,label177,umweltschutz,Requirements
1,label177,elektrotechnik,Requirements
1,label177,energietechnik,Requirements
1,label177,architektur,Requirements
1,label177,fachrichtung,Requirements
1,label177,forensisch,Requirements
1,label177,klinisch,Requirements
1,label177,immobilie,Requirements
1,label177,bautechnik,Requirements
1,label177,geprüft,Requirements
1,label177,techniker,Requirements
1,label177,hochbau,Requirements
1,label177,tiefbau,Requirements
1,label177,geographie,Requirements
1,label177,geologie,Requirements
1,label177,energie,Requirements
1,label177,erneuerbar,Requirements
1,label177,vermessung,Requirements
1,label177,engineering,Requirements
1,label177,bauingenieur,Requirements
1,label177,ingenieur,Requirements
1,label177,ingenieurin,Requirements
1,label177,sparte,Requirements
1,label177,fach,Requirements
1,label177,fachgebiet,Requirements
1,label177,gebiet,Requirements
1,label177,ausrichtung,Requirements
1,label177,erwartung,Requirements
1,label177,erwarten,Requirements
1,label177,genannt,Requirements
1,label177,verwandt,Requirements
1,label177,gehoben,Requirements
1,label177,abgelegt,Requirements
1,label177,ehemals,Requirements
1,label177,erst,Requirements
1,label177,zweit,Requirements
1,label177,studienfach,Requirements
1,label177,studiengang,Requirements
1,label177,magister,Requirements
1,label177,master,Requirements
1,label177,modular,Requirements
1,label177,diplom,Requirements
1,label177,studium,Requirements
1,label177,bachelor,Requirements
1,label177,public,Requirements
1,label177,fachwirt,Requirements
1,label177,dipl,Requirements
1,label177,arts,Requirements
1,label177,jurist,Requirements
1,label177,uni,Requirements
1,label177,laws,Requirements
1,label177,vwa,Requirements
1,label177,ihk,Requirements
1,label177,mind,Requirements
1,label177,archiv,Requirements
1,label177,profil,Requirements
1,label177,finanz,Requirements
1,label177,verwaltung,Requirements
1,label177,allgemein,Requirements
1,label177,wohngeld,Requirements
1,label179,beschrieben,Requirements
1,label179,fachbezogen,Requirements
1,label179,erwerben,Requirements
1,label179,vorweisen,Requirements
1,label179,voraus,Requirements
1,label179,worauf,Requirements
1,label179,angestellte,Requirements
1,label179,bedienstete,Requirements
1,label179,informatik,Requirements
1,label179,mathematik,Requirements
1,label179,abschließen,Requirements
1,label179,fachgebunden,Requirements
1,label179,büromanagement,Requirements
